Datetime,Open,High,Low,Close,Volume
2020-01-27,8621.5,8708.1,8621.5,8681.8,4999062.68
2020-01-26,8353.7,8631.6,8301,8621.5,29840756.17
2020-01-25,8447.13,8447.2,8280,8353.7,17540023.1
2020-01-24,8403.57,8523,8246,8447.13,29460795.88
2020-01-23,8663.9,8670.4,8296,8403.57,48176663.25
2020-01-22,8734.1,8799.9,8580.5,8663.9,20421886.68
2020-01-21,8638.2,8787.17,8500,8734.1,28111145.55
2020-01-20,8698.7,8741.1,8519.6,8638.2,35460570.59
2020-01-19,8891.6,9169.5,8450,8698.7,109094169.8
2020-01-18,8875.4,8965,8791.12,8891.6,30748927.23
2020-01-17,8720.6,9000,8674.2,8875.4,85912886.14
2020-01-16,8807.7,8839.9,8579.8,8720.6,46067354.53
2020-01-15,8772.6,8873,8560.1,8807.7,76698491.12
2020-01-14,8095.8,8829,8095.8,8772.6,142168178.5
2020-01-13,8174.7,8199.7,8053.6,8095.8,21008834.65
2020-01-12,8013.7,8174.7,7951.7,8174.7,25987838.41
2020-01-11,8183,8282.4,7991.8,8013.7,34503128.47
2020-01-10,7817.45,8185.9,7675.8,8183,62456929.11
2020-01-09,8036.8,8036.8,7756,7817.45,36836883.09
2020-01-08,8154.1,8442,7877.6,8036.8,96077988.92
2020-01-07,7757.9,8210.3,7741.9,8154.1,98053644.15
2020-01-06,7364.6,7785,7358,7757.9,64868479.62
2020-01-05,7369.83,7509.9,7315.8,7364.6,33101248.83
2020-01-04,7371.2,7422,7297.3,7369.83,31377577.46
2020-01-03,6989.4,7444.9,6909.3,7371.2,48359160.21
2020-01-02,7212.7,7225.8,6963,6989.4,34240111.08
2020-01-01,7208.3,7285.1,7185.4,7212.7,14987697.29
2019-12-31,7260.9,7333,7161.3,7208.3,21650611.68
2019-12-30,7413.6,7421.7,7201.29,7260.9,29845750.56
2019-12-29,7334.4,7551.6,7311.6,7413.6,18528109.54
2019-12-28,7287,7390,7279.2,7334.4,20049143.93
2019-12-27,7233.1,7300,7113.3,7287,28861325.64
2019-12-26,7220.1,7465,7181.8,7233.1,34397056.99
2019-12-25,7276.9,7294.2,7113.2,7220.1,24299327.83
2019-12-24,7347.4,7445,7182.1,7276.9,31076815.99
2019-12-23,7535.1,7715.1,7282.4,7347.4,53244680.55
2019-12-22,7166.4,7541.4,7159.6,7535.1,26569794.49
2019-12-21,7212.94,7215.1,7136.5,7166.4,16375053.48
2019-12-20,7181.8,7249,7116.8,7212.94,40900417.32
2019-12-19,7326.2,7417.1,7079.7,7181.8,39072767.73
2019-12-18,6667.1,7482.2,6477,7326.2,95076734.32
2019-12-17,6926.6,6972,6620,6667.1,85654844.34
2019-12-16,7152.7,7196,6900,6926.6,94801410.43
2019-12-15,7100.8,7224.8,7043.9,7152.7,25398534.8
2019-12-14,7283.2,7290.5,7032.6,7100.8,24385078.34
2019-12-13,7224,7332,7218.7,7283.2,21077258.44
2019-12-12,7230.72,7369.02,7132.8,7224,40660818.71
2019-12-11,7254.6,7312,7169,7230.72,22615688.09
2019-12-10,7379.52,7434.6,7200,7254.6,26611517.14
2019-12-09,7564.6,7748.7,7306.2,7379.52,49302076.57
2019-12-08,7543.2,7620,7433.6,7564.6,32442507.94
2019-12-07,7588.3,7669.8,7516.7,7543.2,13064199.86
2019-12-06,7440,7661.8,7350,7588.3,42759331.09
2019-12-05,7238.3,7530.9,7191,7440,35247650.95
2019-12-04,7336.02,7890,7129,7238.3,86776368.44
2019-12-03,7350.26,7454.6,7287,7336.02,16901760.13
2019-12-02,7450.1,7467.3,7206.4,7350.26,33912456.71
2019-12-01,7599.88,7600.1,7288.6,7450.1,46818362.64
2019-11-30,7796.6,7861.6,7492,7599.88,38089443.71
2019-11-29,7460.8,7933.4,7450,7796.6,55864935.1
2019-11-28,7549.3,7690,7415,7460.8,32472890.83
2019-11-27,7198.3,7689,6878.2,7549.3,101436340.2
2019-11-26,7162.8,7386.3,7047.2,7198.3,37306644.13
2019-11-25,6965.3,7414.4,6618,7162.8,129226151.8
2019-11-24,7352.6,7372,6922,6965.3,61081166.27
2019-11-23,7317.28,7385,7141,7352.6,33578245.87
2019-11-22,7671.1,7766,6819.2,7317.28,140107680.8
2019-11-21,8126.4,8155.9,7500,7671.1,76905439.8
2019-11-20,8164.9,8257.8,8081,8126.4,16784577.79
2019-11-19,8219.5,8245.53,8051.7,8164.9,30176956.49
2019-11-18,8537.3,8537.3,8117,8219.5,53104017.57
2019-11-17,8523.5,8699.5,8404.4,8537.3,24305019.64
2019-11-16,8495.83,8577,8440.1,8523.5,13052213.87
2019-11-15,8655.7,8800,8420.1,8495.83,44391897.86
2019-11-14,8801.1,8817.4,8600,8655.7,28654453.85
2019-11-13,8830,8849.9,8730.3,8801.1,11775302.44
2019-11-12,8737.72,8910,8602,8830,30584808.36
2019-11-11,9069.7,9108.5,8616.5,8737.72,37331170.9
2019-11-10,8828.05,9250,8764,9069.7,41699156.7
2019-11-09,8782.3,8896,8734.8,8828.05,17263761.05
2019-11-08,9209.2,9252.9,8681,8782.3,69955034.97
2019-11-07,9352.8,9387.1,9051.6,9209.2,34501453.62
2019-11-06,9339.7,9475,9278,9352.8,32508875.77
2019-11-05,9440,9504.1,9185.1,9339.7,31875657.43
2019-11-04,9222.4,9645,9152,9440,70257907.98
2019-11-03,9332.1,9400.6,9100,9222.4,33318630.1
2019-11-02,9289,9429.5,9251.5,9332.1,34131340.84
2019-11-01,9185.6,9333,9085.56,9289,37732214.73
2019-10-31,9184.3,9467.1,8982.1,9185.6,52162919.81
2019-10-30,9445.5,9446.9,9035,9184.3,46416723.49
2019-10-29,9225.7,9559.8,9100,9445.5,62984466.68
2019-10-28,9571.7,9948.9,9216.8,9225.7,85718049.78
2019-10-27,9270.9,9823.86,9121.2,9571.7,105759041.1
2019-10-26,8679.1,10480,8661.85,9270.9,302542798.8
2019-10-25,7453,8803.1,7426,8679.1,141204255.1
2019-10-24,7493.7,7529,7367.9,7453,43328562.42
2019-10-23,8058.8,8074.5,7333.4,7493.7,99470281.12
2019-10-22,8243.8,8333,8034.9,8058.8,31574286.93
2019-10-21,8260.7,8371.3,8181.8,8243.8,28229438.5
2019-10-20,7992.9,8337,7921.6,8260.7,39589830.08
2019-10-19,7987.3,8119.5,7927,7992.9,28124349.49
2019-10-18,8092.3,8135.11,7860,7987.3,42207934.67
2019-10-17,8016,8150.53,7949.3,8092.3,22650778.74
2019-10-16,8191.1,8204.3,7960,8016,57129477.97
2019-10-15,8369.96,8439.7,8100,8191.1,26906522.27
2019-10-14,8304.9,8428.2,8227.3,8369.96,21118580.4
2019-10-13,8319.6,8477.97,8160.4,8304.9,33731109.77
2019-10-12,8278.2,8423.7,8270.5,8319.6,14253650.56
2019-10-11,8596,8815.3,8253,8278.2,51418368.58
2019-10-10,8607.5,8683.9,8472,8596,37021789.83
2019-10-09,8205,8719.2,8146.56,8607.5,71132453.44
2019-10-08,8227,8362,8132.7,8205,28554980.24
2019-10-07,7882.9,8366.1,7793.2,8227,66182672.83
2019-10-06,8162.5,8183.24,7806.7,7882.9,46641948.11
2019-10-05,8170,8210.8,8040,8162.5,27021471.49
2019-10-04,8258,8264.9,8032.7,8170,24946287.9
2019-10-03,8414.88,8440,8084.1,8258,30623737.96
2019-10-02,8334.9,8420,8193,8414.88,28570950.97
2019-10-01,8331.14,8539.3,8228,8334.9,49049132.41
2019-09-30,8090,8385,7733.3,8331.14,87839295.32
2019-09-29,8238.2,8260.2,7930,8090,49454030.63
2019-09-28,8213.4,8390,8032.1,8238.2,44602497.95
2019-09-27,8105.9,8309.8,7906.3,8213.4,60208646.12
2019-09-26,8475.3,8493.07,7796.6,8105.9,125180468.7
2019-09-25,8538.7,8773.6,8262,8475.3,108207657.4
2019-09-24,9702.6,9795,8100,8538.7,307985234
2019-09-23,10055,10077,9610.3,9702.6,53969510.57
2019-09-22,10013,10105,9880.7,10055,27523592.55
2019-09-21,10197,10199,9942.9,10013,29943816.81
2019-09-20,10301,10340,10104,10197,25660191.4
2019-09-19,10185,10487,9655,10301,97965321.95
2019-09-18,10214.86,10278,10111,10185,34080717.87
